trial_no,vwap_buy_deviation,take_profit_pct,buy_confirm_min_score,notify_sell_threshold,notify_buy_threshold,stock_qty_strong_pct,stock_qty_base_pct,stock_rebuild_strong_pct,stock_first_add_pct,train_win_rate,train_total_pnl,train_n_trades,train_max_drawdown,train_annualized_return,train_composite_score,test_win_rate,test_total_pnl,test_n_trades,test_max_drawdown,test_annualized_return,test_composite_score,elapsed_sec,status
44,-0.016060249540318542,0.014429963649856261,15,48,48,0.5668770791691656,0.2780782601248072,0.7299179320522573,0.2081391645889299,0.0,-3.83,1,-0.0208,0.0621,0.0,0,0,0,0,0,0,163.5,ok
45,-0.02047107742977996,0.008231046522510433,19,55,50,0.4934744483665632,0.3040772835466951,0.6000216263411362,0.2644906644336564,0,0,0,0,0,-9999.0,0,0,0,0,0,0,159.7,ok
46,-0.01739174351390242,0.023697842964806766,17,50,70,0.5188358972622854,0.363211596631302,0.9734460109560287,0.345842198462001,0,0,0,0,0,-9999.0,0,0,0,0,0,0,152.0,ok
47,-0.02407072741176919,0.009627321291285679,16,52,51,0.5854923572181079,0.31701659213839706,0.7575769081341485,0.19056227324974032,0,0,0,0,0,-9999.0,0,0,0,0,0,0,157.8,ok
48,-0.02265356935650921,0.01325691667108261,19,49,53,0.5417623387940016,0.2937684551690645,0.8974509032177488,0.27666361226405484,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,166.5,ok
49,-0.021531999506926136,0.011433497011299058,28,54,48,0.330810274971608,0.2271466493322605,0.8626296484810674,0.21827915239721887,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,126.7,ok
50,-0.018753964949786286,0.015611737532164844,22,56,57,0.561264432975332,0.3450850549717622,0.8025256344973547,0.1320825035390194,0,0,0,0,0,-9999.0,0,0,0,0,0,0,142.3,ok
51,-0.022449676931981036,0.012962260550927392,17,57,51,0.5757866781569605,0.3841976465166217,0.8330257960480302,0.15132996158122347,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,129.7,ok
52,-0.020569796744196896,0.013951505794682087,18,62,51,0.5983930289192726,0.37713766835683615,0.8426659363311658,0.12356098243451172,0,0,0,0,0,-9999.0,0,0,0,0,0,0,125.1,ok
53,-0.023145647935358043,0.010269057645902779,20,57,53,0.5639848409020479,0.36460510506586263,0.7631476136137849,0.29606482165981907,0.0,-3.83,1,-0.0183,0.0544,0.0,0,0,0,0,0,0,184.3,ok
