open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
75.57,75.83,74.78,74.81,25758600.0,000988.SZ,20260213,华工科技,NA,CNY
79.97,82.28,79.33,82.28,73007500.0,000988.SZ,20260224,华工科技,NA,CNY
85.56,86.76,83.98,85.96,127027300.0,000988.SZ,20260225,华工科技,NA,CNY
86.01,89.73,84.86,88.4,97589900.0,000988.SZ,20260226,华工科技,NA,CNY
86.68,90.73,85.16,89.71,93166800.0,000988.SZ,20260227,华工科技,NA,CNY
89.7,97.69,89.65,94.81,90159000.0,000988.SZ,20260302,华工科技,NA,CNY
97.65,100.63,94.68,95.67,132072400.0,000988.SZ,20260303,华工科技,NA,CNY
93.69,103.31,93.69,101.38,117365700.0,000988.SZ,20260304,华工科技,NA,CNY
104.83,111.52,99.38,106.43,155232200.0,000988.SZ,20260305,华工科技,NA,CNY
106.57,115.9,105.82,114.59,129693000.0,000988.SZ,20260306,华工科技,NA,CNY
111.81,119.58,108.32,118.4,135658900.0,000988.SZ,20260309,华工科技,NA,CNY
119.29,123.79,116.36,123.3,113779900.0,000988.SZ,20260310,华工科技,NA,CNY
122.79,135.46,122.7,134.66,125882500.0,000988.SZ,20260311,华工科技,NA,CNY
133.52,141.18,123.29,127.69,209811500.0,000988.SZ,20260312,华工科技,NA,CNY
125.09,126.59,118.39,118.49,160209800.0,000988.SZ,20260313,华工科技,NA,CNY
118.54,119.59,112.69,117.02,121625600.0,000988.SZ,20260316,华工科技,NA,CNY
117.79,119.4,110.62,110.94,113108800.0,000988.SZ,20260317,华工科技,NA,CNY
114.15,116.01,111.55,114.59,98410000.0,000988.SZ,20260318,华工科技,NA,CNY
113.05,122.31,113.05,119.79,124060200.0,000988.SZ,20260319,华工科技,NA,CNY
122.89,125.55,115.81,115.89,146654100.0,000988.SZ,20260320,华工科技,NA,CNY
111.12,117.88,111.12,113.15,95536200.0,000988.SZ,20260323,华工科技,NA,CNY
113.35,114.96,105.37,111.81,116869700.0,000988.SZ,20260324,华工科技,NA,CNY
113.47,118.24,113.31,115.55,103475300.0,000988.SZ,20260325,华工科技,NA,CNY
105.99,109.45,104.43,105.17,138712000.0,000988.SZ,20260326,华工科技,NA,CNY
103.01,111.06,103.01,109.32,98008100.0,000988.SZ,20260327,华工科技,NA,CNY
108.82,110.32,105.39,106.77,59360300.0,000988.SZ,20260330,华工科技,NA,CNY
105.62,106.47,101.94,103.33,58170300.0,000988.SZ,20260331,华工科技,NA,CNY
106.43,106.62,103.02,104.57,51706300.0,000988.SZ,20260401,华工科技,NA,CNY
103.88,105.22,99.7,100.17,59441700.0,000988.SZ,20260402,华工科技,NA,CNY
102.23,105.66,101.49,103.37,68514500.0,000988.SZ,20260403,华工科技,NA,CNY
104.71,108.32,103.09,104.03,57104200.0,000988.SZ,20260407,华工科技,NA,CNY
107.82,110.28,105.93,110.23,91563200.0,000988.SZ,20260408,华工科技,NA,CNY
108.03,117.65,107.59,114.74,111230800.0,000988.SZ,20260409,华工科技,NA,CNY
116.81,117.48,113.71,115.73,100429800.0,000988.SZ,20260410,华工科技,NA,CNY
114.67,124.99,114.67,124.95,111746100.0,000988.SZ,20260413,华工科技,NA,CNY
119.8,124.13,117.8,120.43,141224400.0,000988.SZ,20260414,华工科技,NA,CNY
120.19,120.19,110.42,112.11,134789200.0,000988.SZ,20260415,华工科技,NA,CNY
109.72,113.61,107.67,112.13,80253200.0,000988.SZ,20260416,华工科技,NA,CNY
112.81,117.38,112.6,116.49,95400700.0,000988.SZ,20260417,华工科技,NA,CNY
114.99,118.0,113.51,114.79,92799700.0,000988.SZ,20260420,华工科技,NA,CNY
112.81,116.89,112.37,116.09,69662300.0,000988.SZ,20260421,华工科技,NA,CNY
