date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,amount_anchor_ratio,cache_schema_version,cache_scan_mode,cache_saved_at
2026-03-10,47.2,49.39,49.7,47.2,1814094.0,88461270.42000002,cache,88461270.42000002,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-11,49.45,50.17,50.88,49.28,1686484.0,84509713.23999998,cache,84509713.23999998,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-12,49.9,49.7,50.43,49.28,860416.0,42851584.85333334,cache,42851584.85333334,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-13,49.35,49.33,50.28,49.05,819833.0,40625457.92666667,cache,40625457.92666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-16,49.01,49.26,49.27,47.51,965272.0,46989440.96,cache,46989440.96,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-17,50.18,49.83,51.76,49.76,1850095.0,93337292.75,cache,93337292.75,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-18,49.66,49.34,49.89,48.9,861205.0,42523432.21666667,cache,42523432.21666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-19,48.38,48.04,48.8,47.85,918059.0,44277985.57,cache,44277985.57,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-20,48.39,48.22,49.7,48.22,1004845.0,48949349.43333333,cache,48949349.43333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-23,47.53,46.3,47.75,45.95,1017446.0,47480813.33333333,cache,47480813.33333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-24,46.8,46.34,46.94,44.57,1105607.0,50802641.65,cache,50802641.65,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-25,47.38,50.97,50.97,47.0,2608861.0,129521252.44666667,cache,129521252.44666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-26,51.71,50.19,51.71,49.96,2200194.0,111373820.28000002,cache,111373820.28000002,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-27,48.18,50.61,51.29,48.18,1749811.0,87537211.62666667,cache,87537211.62666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-30,49.8,48.76,50.0,48.1,1596406.0,78149395.05333333,cache,78149395.05333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-03-31,48.4,49.26,50.62,48.0,1671505.0,82394053.13333333,cache,82394053.13333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-01,50.48,50.4,51.11,49.8,1109777.0,55973452.623333335,cache,55973452.623333335,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-02,50.1,49.89,50.9,49.57,859659.0,43086109.080000006,cache,43086109.080000006,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-03,50.3,48.8,50.38,48.64,745145.0,36715777.96666667,cache,36715777.96666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-07,49.0,48.39,49.95,48.11,799878.0,39047377.7,cache,39047377.7,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-08,49.56,52.27,52.57,49.56,2019287.0,103925970.93333334,cache,103925970.93333334,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-09,51.5,55.09,55.78,51.3,2996031.0,161955449.09,cache,161955449.09,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-10,55.42,58.18,59.18,54.9,3868969.0,222156199.98,cache,222156199.98,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-13,57.78,58.6,59.52,57.5,2388132.0,139801247.28,cache,139801247.28,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-14,59.0,59.14,60.65,58.55,2432745.0,144618581.1,cache,144618581.1,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-15,59.0,58.78,60.98,58.45,1980038.0,117620857.32666668,cache,117620857.32666668,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
